Organization Name,Customer Type,City,State,Org Specialty
Alliance Spine and Pain Centers,Group Practice,Augusta,GA,Pain Management
Ampla Health,FQHC (Non Profit),Yuba City,CA,Multi-Specialty
APC Physicians,Group Practice,Allen Park,MI,Cardiology
Austin Pulmonary Consultants PA,Group Practice,Austin,TX,Pulmonology
Autumn Road Family Practice,Group Practice,Little Rock,AR,Primary Care
AZ Kidney Disease & Hypertension Centers,Group Practice,Phoenix,AZ,Nephrology
Baptist Health Rheumatology,Health System,Lexington,KY,Rheumatology
Candor Health: Carolyn Robinson's Office,Service Provider,Paris,TX,Primary Care
Capital Nephrology Medical Group,Group Practice,Sacramento,CA,Nephrology
Charleston Nephrology,Group Practice,North Charleston,SC,Nephrology
Chicago Cardiology Institute,Group Practice,Schaumburg,IL,Cardiology
Chicago Center for Adult Medicine,Group Practice,Chicago,IL,Primary Care
Colorado Springs Pulmonary Consultants,Group Practice,Colorado Springs,CO,Pulmonology
Columbia Nephrology Associates,Group Practice,Columbia,SC,Nephrology
Comanche County Medical Center,FQHC (Non Profit),Comanche,TX,Primary Care
Commonwealth ACO,Accountable Care Organization (ACO),Phoenix,AZ,Primary Care
Community Health and Wellness Partners of Logan County,FQHC (Non Profit),Bellefontaine,OH,Primary Care
CRH: Patients First,Practice Conglomerate,Tallahassee,FL,Urgent Care
CRH: Peachtree Immediate Care,Practice Conglomerate,Acworth,GA,Urgent Care
Cullman Internal Medicine,Group Practice,Cullman,AL,Primary Care
Decatur County Memorial Hospital,FQHC (Non Profit),Greensburg,IN,Primary Care
Dent Neurologic Institute,Group Practice,Amherst,NY,Neurology
Dr. John F. Fisher,Individual Doctor,Sussex,NJ,Primary Care
Duke City Cares,Group Practice,Albuquerque,NM,Primary Care
Endocrine Center Houston,Group Practice,Houston,TX,Endocrinology
Family Practice Associates,Group Practice,Lexington,KY,Primary Care
Fredericksburg Nephrology Associates,Group Practice,Fredericksburg,VA,Nephrology
Generations Primary Care,Group Practice,Hopkinsville,KY,Primary Care
Geriatric Medical Associates: Gandhi Medical Consultants,Service Provider,New Lenox,IL,Primary Care
Geriatric Medical Associates: Kantar Medical Consultants,Service Provider,Chicago Area,IL,Primary Care
Geriatric Medical Associates: St Louis Cancer Care,Service Provider,Bridgeton,MO,Primary Care
Graves Gilbert Clinic,Health System,Bowling Green,KY,Multi-Specialty
Gray Family Health LLC,Group Practice,Gray,GA,Primary Care
HCPP: Dr. Bartel,Service Provider,Wichita Falls,TX,Neurology
Hope Medical Services,Group Practice,Fresh Meadows,NY,Cardiology
Horizon Cardiology,Group Practice,Fair Lawn,NJ,Cardiology
Innocura Nephrology: Georgia Kidney and Hypertension Clinic,Practice Conglomerate,Bainbridge,GA,Nephrology
Innocura Nephrology: PINE,Practice Conglomerate,Pittsburgh,PA,Nephrology
Insight Medical,Health System,Flint,MI,Neurology
Iowa Arthritis and Osteoporosis Center,Group Practice,Urbandale,IA,Rheumatology
James Nichols MD LLC DBA Ahwatukee Family Medical Center,Group Practice,Phoenix,AZ,Primary Care
"Kidney Care Center of Georgia, LLC",Group Practice,Suwanee,GA,Nephrology
Kidney Medical Associates (Bronx Park East),Group Practice,Bronx,NY,Nephrology
Kidney Medical Associates (Marconi),Group Practice,Bronx,NY,Nephrology
Lincoln Paden Medical Group,Group Practice,Mountain Home,AR,Primary Care
Louisville Pulmonary Care,Group Practice,Louisville,KY,Pulmonology
"Lung, Allergy and Sleep Medicine Center",Group Practice,Berkley,MI,Pulmonology
Maniya Health,Group Practice,Hamilton Township,NJ,Primary Care
Maniya Health: Consultants in Kidney Diseases,Group Practice,Hamilton,NJ,Nephrology
Metrolina Nephrology Associates,Group Practice,Charlotte,NC,Nephrology
Midwest Allergy Sinus Asthma,Group Practice,Normal,IL,Pulmonology
Nephrological Associates PA,Group Practice,Florham Park,NJ,Nephrology
Nephrology & Hypertension Associates of New Jersey,Group Practice,Voorhees,NJ,Nephrology
Nephrology & Hypertension Medical Associates,Group Practice,Savannah,GA,Nephrology
Nephrology Associates of Central Florida,Group Practice,Orlando,FL,Nephrology
Nephrology Associates of Kentuckiana,Group Practice,Louisville,KY,Nephrology
"North Carolina Nephrology, P.A.",Group Practice,Raleigh,NC,Nephrology
North Central Arkansas Medical Associates,Group Practice,Mountain Home,AR,Primary Care
Northwest Neurology,Group Practice,Crystal Lake,IL,Neurology
Northwest Renal Clinic,Group Practice,Portland,OR,Nephrology
Ocean Renal Associates,Group Practice,Brick,NJ,Nephrology
Pain Management & Rehabilitation Center,Group Practice,Seymour,IN,Pain Management
Pain Treatment Center of the Bluegrass,Group Practice,Lexington,KY,Pain Management
"PCC Medical Holdings, LLC",Group Practice,Atlantis,FL,Primary Care
Peninsula Nephrology Associates,Group Practice,Salisbury,MD,Nephrology
Physicians' Clinic of Iowa,Group Practice,Cedar Rapids,IA,Primary Care
Pickens County Primary Care PC,Group Practice,Refom ,AL,Primary Care
"Primary Care Partners - Grand Junction, CO",Group Practice,Grand Junction,CO,Primary Care
Pulmonary Associates of Fredericksburg,Group Practice,Fredericksburg,VA,Pulmonology
Pulmonary Medicine Consultants,Group Practice,Richardson,TX,Pulmonology
Regional Family Medicine,Group Practice,Mountain Home,AR,Primary Care
"Regional Nephrology Associates, P.A.",Group Practice,Northfield,NJ,Nephrology
Renal Associates of Baton Rouge,Group Practice,Baton Rouge,LA,Nephrology
Richmond University Medical Center,Hospital,Staten Island,NY,Primary Care
RuralMED: Family Medical Specialties,Service Provider,Holdrege,NE,Primary Care
RuralMED: Phelps Medical Group (PMG),Service Provider,Holdrege,NE,Primary Care
Saline Heart Group,Group Practice,Benton,AR,Cardiology
Savannah Neurology Specialists,Group Practice,Savannah,GA,Neurology
Silver Cross Medical Group,Health System,New Lenox,IL,Multi-Specialty
Sound Family Medicine,Group Practice,Bonney Lake,WA,Primary Care
Sweeten Health: Affinity Neurocare,Service Provider,Carrollton,TX,Neurology
Sweeten Health: Ann Arbor Endocrinology & Diabetes Associates,Service Provider,Ypsilanti,MI,Endocrinology
Sweeten Health: Ascend Vision: Thurmond Eye Associates,Service Provider,Mission,TX,Opthalmology
Sweeten Health: Bergen Hypertension and Renal Associates,Service Provider,Paramus,NJ,Nephrology
Sweeten Health: Bluegrass Kidney Consultants,Service Provider,Louisville,KY,Nephrology
Sweeten Health: Cancer Care Specialists of Reno,Service Provider,Reno,CA,Oncology
Sweeten Health: CardioOne: Cardiac Associates of North Jersey,Service Provider,Oakland,NJ,Cardiology
Sweeten Health: Center for Neurosciences,Service Provider,Tucson,AZ,Neurology
Sweeten Health: Colorado Springs Neurological Associates,Service Provider,Colorado Springs,CO,Neurology
Sweeten Health: Dr. Mbualungu's Internal Medicine Office,Service Provider,Washington,DC,Primary Care
Sweeten Health: Eye Center of Hawaii,Service Provider,Honolulu,HI,Opthamology
Sweeten Health: Florida Neurology Group,Service Provider,Fort Myers,FL,Neurology
"Sweeten Health: Georges C. Awah MD, PHD, PC",Service Provider,Washington,DC,Primary Care
Sweeten Health: Internal Medicine Specialists,Service Provider,Rancho Mirage,CA,Primary Care
Sweeten Health: Metro Renal Associates,Service Provider,Washington,DC,Nephrology
Sweeten Health: Nephrology Associates of Tidewater,Service Provider,Chesapeake,VA,Nephrology
Sweeten Health: NeuroNet: Asheville Neurology Specialists,Service Provider,Asheville,NC,Neurology
Sweeten Health: NeuroNet: Lone Star Neurology,Service Provider,Allen,TX,Neurology
Sweeten Health: NeuroNet: Noran Neurological Clinic,Service Provider,Blaine,MN,Neurology
Sweeten Health: NeuroNet: Tampa Bay Neurocognitive Institute,Service Provider,Clearwater,FL,Neurology
Sweeten Health: NeuroNet: Texas Neurology,Service Provider,Dallas,TX,Neurology
Sweeten Health: NeuroNet: The Neurology Center,Service Provider,Washington,DC,Neurology
Sweeten Health: Nexus Pain Center,Service Provider,Columbus,GA,Pain Management
Sweeten Health: Northwest Houston Neurology,Service Provider,Tomball,CA,Neurology
Sweeten Health: One Oncology: LA Cancer Center ,Service Provider,Anaheim,CA,Oncology
Sweeten Health: One Oncology: Mary Bird Perkins Cancer Center,Service Provider,Baton Rouge,LA,Oncology
Sweeten Health: One Oncology: Med Oncology Associates of San Diego,Service Provider,Coronado,CA,Oncology
Sweeten Health: One Oncology: University Cancer & Blood Center ,Service Provider,Athens,GA,Oncology
Sweeten Health: OneOncology: Arizona Blood & Cancer,Service Provider,Tucson,AZ,Oncology
Sweeten Health: OneOncology: Carolina Oncology Specialists,Service Provider,Hickory,NC,Oncology
Sweeten Health: OneOncology: ECHO Associates,Service Provider,Norwich,CT,Oncology
Sweeten Health: OneOncology: Oncology Specialists of Charlotte,Service Provider,Charlotte,NC,Oncology
Sweeten Health: OneOncology: Pacific Cancer Care,Service Provider,Monterey,CA,Oncology
Sweeten Health: OneOncology: Pennsylvania Cancer Specialists Research Institute,Service Provider,Hanover,PA,Oncology
Sweeten Health: Oregon Rheumatology,Service Provider,Hillsboro,OR,Rheumatology
Sweeten Health: PCP: Advanced Primary Care,Service Provider,Fanwood,NJ,Primary Care
Sweeten Health: PCP: Boonton Medical Associates,Service Provider,Boonton,NJ,Primary Care
Sweeten Health: PCP: Dr. Dabrowski,Service Provider,Mountain Lakes,NJ,Primary Care
Sweeten Health: PCP: Dr. Kenneth Miller,Service Provider,Randolph,NJ,Primary Care
Sweeten Health: PCP: Eastern Vascular Associates,Service Provider,Denville,NJ,Cardiology
Sweeten Health: PCP: Family Medical Center at Dover,Service Provider,Dover ,DE,Primary Care
Sweeten Health: PCP: Morris County Primary Care,Service Provider,Morris Plains,NJ,Primary Care
Sweeten Health: PCP: Pleasant Run Family Physicians,Service Provider,Neshanic Station,NJ,Primary Care
Sweeten Health: PCP: Prime Health Medical,Service Provider,Newark,NJ,Primary Care
Sweeten Health: PCP: Summit Springfield Family Medicine,Service Provider,Summit,NJ,Primary Care
Sweeten Health: Premier Mountain Adult Medicine,Service Provider, Show Low,CA,Primary Care
Sweeten Health: Princeton and Rutgers Neurology,Service Provider,Somerset,NJ,Neurology
Sweeten Health: Pulmonary and Critical Care Medicine,Service Provider,Dallas,TX,Pulmonology
Sweeten Health: Pulmonary Associates,Service Provider,Phoenix,AZ,Pulmonology
Sweeten Health: Soledad Medical Clinic,Service Provider,Soledad,CA,Primary Care
Sweeten Health: Southern Kidney ,Service Provider,Nashville,TN,Nephrology
Sweeten Health: Texas Pain Physicians,Service Provider,Pearland,TX,Pain Management
Sweeten Health: UPSA: Caritas Family Medicine,Service Provider,San Antonio,TX,Primary Care
Sweeten Health: UPSA: General Physicians Group,Service Provider,San Antonio,TX,Primary Care
Sweeten Health: UPSA: Medina Valley Family Practice,Service Provider,Castroville,TX,Nephrology
Sweeten Health: UPSA: White,Service Provider,San Antonio,TX,Primary Care
Sweeten Health: USHP: Cardiology Physicians,Service Provider, Newark,DE,Cardiology
Sweeten Health: USHP: Carient Heart & Vascular,Service Provider,Annandale,VA,Cardiology
Sweeten Health: USHP: Stuart Cardiology,Service Provider,Stuart,FL,Cardiology
TeleConnected Medicine: Manchester Rural Health Clinic,Service Provider,Manchester,TN,Primary Care
TeleConnected: Alta Vista Regional Hospital,Service Provider,Las Vegas,NM,Primary Care
TeleConnected: Blue Ridge Medical Group,Service Provider,Raleigh,NC,Primary Care
TeleConnected: RC360: Charlton Primary Care,Service Provider,Folkston,GA,Primary Care
"TeleConnected: RC360: HopeHealth, Inc.",Service Provider,Atlanta,GA,Primary Care
"TeleConnected: RC360: Kidney and Primary Care of Texas, LLC",Service Provider,San Antonio,TX,Nephrology
TeleConnected: RC360: Kidney Clinic LaGrange,Service Provider,LaGrange,GA,Nephrology
TeleConnected: RC360: Nephrology of the Golden Isles,Service Provider,Brentwood,TN,Nephrology
TeleConnected: RC360: South Carolina Nephrology and Hypertension Center Inc,Service Provider,Orangeburg,SC,Nephrology
TeleConnected: RC360: The Kidney Clinic of Cordele,Service Provider,Cordele,GA,Nephrology
TeleConnected: RC360: Valdosta Kidney Clinic,Service Provider,Valdosta,GA,Nephrology
The Bonin Clinic,Group Practice,Zachary,LA,Primary Care
"The Kidney Experts, PLLC",Group Practice,Jackson,TN,Nephrology
The NeuroMedical Center,Health System,Baton Rouge,LA,Neurology
Thomas Health,Health System,Charleston,WV,Multi-Specialty
TriState Centers for Sight - Midwest Eye Center,Group Practice,Cincinnati,OH,Opthalmology
Upperline Health,Practice Conglomerate,Nashville,TN,Primary Care
Vascular Institute of Michigan,Group Practice,Flint,MI,Cardiology
Warrenfield Medical Center,Group Practice,Dearborn,MI,Primary Care
WellCare: Alliance Mental Health Services,Managed Care Organization,Las Vegas,NV,Behavioral Health
Wellcare: The Wellcare Group,Managed Care Organization,Las Vegas,NV,Primary Care
Western Missouri Medical Center,Health System,Warrensburg,MO,Multi-Specialty
"Western Nephrology and Metabolic Bone Disease, PC",Group Practice,Wheat Ridge,CO,Nephrology
Western Washington Medical Group,Group Practice,Everett,WA,Multi-Specialty